d u	d I d
r I v E n J	r I v E n J d
r Y l	r Y l d
s æ n d	s æ n d ɨ d
s æ n d b æ g	s æ n d b æ g d
s k æ b	s k æ b d
s Y n p o s t	s Y n p o s t ɨ d
s k j u R	s k j u R d
s l e k	s l e k t
s l æ n d R	s l æ n d R d
s l ʌ g	s l ʌ g d
s ʌ p j R e t	s ʌ p j R e t ɨ d
s I n d I k e t	s I n d I k e t ɨ d
t e b ɨ l	t e b ɨ l d
t æ m p	t æ m p t
t W t	t W t ɨ d
ʌ n b ʌ k ɨ l	ʌ n b ʌ k ɨ l d
ʌ n b R d ɨ n	ʌ n b R d ɨ n d
ʌ n k ʌ p ɨ l	ʌ n k ʌ p ɨ l d
ʌ n d R s t ʌ d i	ʌ n d R s t ʌ d i d
ʌ n h I n J	ʌ n h I n J d
ʌ p E n d	ʌ p E n d ɨ d
v I l I f Y	v I l I f Y d
w o r b ɨ l	w o r b ɨ l d
E k s r e	E k s r e d
z i r a k s	z i r a k s t
ɨ k r E d I t	ɨ k r E d I t ɨ d
ɔ t ɨ g r æ f	ɔ t ɨ g r æ f t
ɨ v R	ɨ v R d
b æ k s l Y d	b æ k s l I d
b e ɨ n E t	b e ɨ n E t ɨ d
b I s t r Y d	b I s t r o d
b I l I t	b I l I t ɨ d
b ʌ N	b ʌ N d
k æ J	k æ J d
k æ n ɨ n Y z	k æ n ɨ n Y z d
k ɨ p e r I s ɨ n	k ɨ p e r I s ɨ n d
k e s	k e s t
C e n s m o k	C e n s m o k t
s Y f R	s Y f R d
k l R r k	k l R r k t
k o æ g j U l e t	k o æ g j U l e t ɨ d
k ɨ l u d	k ɨ l u d ɨ d
k ɨ n o t	k ɨ n o t ɨ d
k a n v ɨ l E s	k a n v ɨ l E s t
k W n t R b æ l ɨ n s	k W n t R b æ l ɨ n s t
k W n t R f I t	k W n t R f I t ɨ d
k R i	k R i d
d I b ɔ C	d I b ɔ C t
d I f e m	d I f e m d
d I s p O l	d I s p O l d
d I s k ʌ m f I t	d I s k ʌ m f I t ɨ d
E n R J Y z	E n R J Y z d
I n t r æ p	I n t r æ p t
E k s k ɨ m j u n I k e t	E k s k ɨ m j u n I k e t ɨ d
f e r o	f e r o d
f I z ɨ l	f I z ɨ l d
f r i w i l	f r i w i l d
g æ m b ɨ l	g æ m b ɨ l d
h a l ɨ d e	h a l ɨ d e d
h U d	h U d ɨ d
I n s Y z	I n s Y z d
I n t R l e s	I n t R l e s t
J I b	J I b d
J I l t	J I l t ɨ d
l æ m	l æ m d
l E v ɨ n	l E v ɨ n d
l I s p	l I s p t
m æ t	m æ t ɨ d
m Y k r o f I l m	m Y k r o f I l m d
m Y R	m Y R d
m a b	m a b d
m ʌ f	m ʌ f t
n R v	n R v d
W t s E l	W t s o l d
W t S Y n	W t S o n
o v R r i t	o v R r e t
o v R d r E s	o v R d r E s t
o v R p l e	o v R p l e d
o v R s l i p	o v R s l E p t
a k s I J ɨ n e t	a k s I J ɨ n e t ɨ d
p ʌ d ɨ l	p ʌ d ɨ l d
r i k ɨ p I C u l e t	r i k ɨ p I C u l e t ɨ d
r I f r æ k t	r I f r æ k t ɨ d
r I g R J I t e t	r I g R J I t e t ɨ d
r i m W n t	r i m W n t ɨ d
r u t	r u t ɨ d
s k a l ɨ p	s k a l ɨ p t
s k æ l p	s k æ l p t
s e r ɨ n e d	s e r ɨ n e d ɨ d
S o r t s R k I t	S o r t s R k I t ɨ d
S r I m p	S r I m p t
s I C u e t	s I C u e t ɨ d
s l e t	s l e t ɨ d
s l Y t	s l Y t ɨ d
s n I f ɨ l	s n I f ɨ l d
s t e b ɨ l	s t e b ɨ l d
t E l I s k o p	t E l I s k o p t
ʌ n s i t	ʌ n s i t ɨ d
v æ s ɨ l e t	v æ s ɨ l e t ɨ d
w e J R	w e J R d
w e l e	w e l e d
ɨ d u s	ɨ d u s t
ɨ d ʌ l t ɨ r e t	ɨ d ʌ l t ɨ r e t ɨ d
ɨ d v æ n t I J	ɨ d v æ n t I J d
ɨ f I k s	ɨ f I k s t
æ m o r t Y z	æ m o r t Y z d
æ n t I d e t	æ n t I d e t ɨ d
ɨ r e n	ɨ r e n d
a r t I k ɨ l	a r t I k ɨ l d
æ s f æ l t	æ s f æ l t ɨ d
b æ l ɨ t	b æ l ɨ t ɨ d
b I s p i k	b I s p o k
b I t e k	b I t U k
k ɨ r W z	k ɨ r W z d
S ɨ g r I n	S ɨ g r I n d
k a m p o s t	k a m p o s t ɨ d
k r I s k r ɔ s	k r I s k r ɔ s t
k ʌ s	k ʌ s t
d æ n d ɨ l	d æ n d ɨ l d
d I b a r k	d I b a r k t
d E b I t	d E b I t ɨ d
d I k æ m p	d I k æ m p t
d i s E l ɨ r e t	d i s E l ɨ r e t ɨ d
d I f r ɔ d	d I f r ɔ d ɨ d
d i h Y d r e t	d i h Y d r e t ɨ d
d i p a p j U l e t	d i p a p j U l e t ɨ d
d i r e l	d i r e l d
d I s I n k l Y n	d I s I n k l Y n d
d I s I n t R	d I s I n t R d
d ʌ b ɨ l C E k	d ʌ b ɨ l C E k t
d u p	d u p t
I m b l e z ɨ n	I m b l e z ɨ n d
I n k æ m p	I n k æ m p t
I n r æ p C R	I n r æ p C R d
I n s n e r	I n s n e r d
j u l ɨ J Y z	j u l ɨ J Y z d
I k s p ʌ n J	I k s p ʌ n J d
f ʌ l m I n e t	f ʌ l m I n e t ɨ d
g a r l ɨ n d	g a r l ɨ n d ɨ d
g R d ɨ l	g R d ɨ l d
g l æ d ɨ n	g l æ d ɨ n d
g l ʌ t	g l ʌ t ɨ d
g r I t	g r I t ɨ d
h e z	h e z d
I m p i C	I m p i C t
I m p j u n	I m p j u n d
I n k ɨ n v i n j ɨ n s	I n k ɨ n v i n j ɨ n s t
I n I S ɨ l	I n I S ɨ l d
I n l e	I n l e d
I n s E t	I n s E t
J E t	J E t ɨ d
J ʌ k s t ɨ p o z	J ʌ k s t ɨ p o z d
k i n	k i n d
l æ m I n e t	l æ m I n e t ɨ d
l e z	l e z d
l E g	l E g d
l I l t	l I l t ɨ d
l I m b R	l I m b R d
m æ n ɨ k ɨ l	m æ n ɨ k ɨ l d
m R C ɨ n d Y z	m R C ɨ n d Y z d
m o r t R	m o r t R d
m ʌ m I f Y	m ʌ m I f Y d
n æ b	n æ b d
n E t ɨ l	n E t ɨ l d
o r e t	o r e t ɨ d
W t d I s t ɨ n s	W t d I s t ɨ n s t
W t m ɨ n u v R	W t m ɨ n u v R d
o v R r I n d ʌ l J	o v R r I n d ʌ l J d
o v R b æ l ɨ n s	o v R b æ l ɨ n s t
o v R r b R d ɨ n	o v R r b R d ɨ n d
o v R d r ɔ	o v R d r u
o v R t æ k s	o v R t æ k s t
p ɨ r o l	p ɨ r o l d
p a r t I k j U l R Y z	p a r t I k j U l R Y z d
p i k	p i k t
p l e t	p l e t ɨ d
p r i d E s t I n	p r i d E s t I n d
p r E d I k e t	p r E d I k e t ɨ d
p r I v e r I k e t	p r I v e r I k e t ɨ d
p r a p ɨ g æ n d Y z	p r a p ɨ g æ n d Y z d
p j u k	p j u k t
r i æ k t I v e t	r i æ k t I v e t ɨ d
r i k æ s t	r i k æ s t ɨ d
r I s E s	r I s E s t
r i d I p l O	r i d I p l O d
r a n d I v u	r a n d I v u d
r E k w I z I S ɨ n	r E k w I z I S ɨ n d
r i s E t	r i s E t
r I s ʌ s I t e t	r I s ʌ s I t e t ɨ d
r i t u l	r i t u l d
r ʌ s t I k e t	r ʌ s t I k e t ɨ d
s æ l v	s æ l v d
S o r t l I s t	S o r t l I s t ɨ d
s p l Y s	s p l Y s t
s p l R J	s p l R J d
s w a b	s w a b d
s w a t	s w a t ɨ d
t o	t o d
t r ɔ l	t r ɔ l d
ʌ n d R p l e	ʌ n d R p l e d
ʌ p b r e d	ʌ p b r e d ɨ d
v ɔ n t	v ɔ n t ɨ d
v E J I t e t	v E J I t e t ɨ d
v a l i	v a l i d
w I n C	w I n C t
